Date,Price
02-98,6480
03-98,6466
04-98,6230
05-98,5099
06-98,5535
07-98,5473
08-98,4658
09-98,5360
10-98,5064
11-98,4865
12-98,5020
01-99,5252
02-99,5630
03-99,4982
04-99,5430
05-99,4910
06-99,5287
07-99,5490
08-99,5188
09-99,5615
10-99,5177
11-99,5236
12-99,5453
01-00,5321
02-00,5108
03-00,5062
04-00,5015
05-00,4987
06-00,5083
07-00,5091
08-00,5022
09-00,4948
10-00,4796
11-00,4733
12-00,4635
01-01,4858
02-01,4515
03-01,4315
04-01,4358
05-01,4428
06-01,4327
07-01,4243
08-01,4193
09-01,4675
10-01,4239
11-01,4157
12-01,4588
01-02,4230
02-02,4517
03-02,4656
04-02,4555
05-02,5052
06-02,4855
07-02,4612
08-02,4452
09-02,4548
10-02,4514
11-02,4427
12-02,4812
01-03,4866
02-03,4592
03-03,4475
04-03,4652
05-03,4539
06-03,4564
07-03,5123
08-03,5122
09-03,5142
10-03,5068
11-03,5373
12-03,5965
01-04,6256
02-04,6715
03-04,7950
04-04,6079
05-04,6118
06-04,5795
07-04,6575
08-04,6800
09-04,6938
10-04,7320
11-04,7758
12-04,6837
01-05,6762
02-05,7395
03-05,7210
04-05,6940
05-05,7472
06-05,7075
07-05,7296
08-05,6835
09-05,7512
10-05,7598
11-05,8350
12-05,8890
01-06,9915
02-06,9805
03-06,11560
04-06,13630
05-06,12505
06-06,10920
07-06,11390
08-06,13002
09-06,11540
10-06,12322
11-06,14052
12-06,12935
01-07,13632
02-07,14235
03-07,13510
04-07,13575
05-07,13538
06-07,12473
07-07,13072
08-07,12162
09-07,13920
10-07,14494
11-07,14097
12-07,14920
01-08,17041
02-08,19915
03-08,17355
04-08,16593
05-08,16913
06-08,17510
07-08,17841
08-08,13671
09-08,12275
10-08,9733
11-08,10208
12-08,11295
01-09,12575
02-09,13110
03-09,12999
04-09,12325
05-09,15622
06-09,13600
07-09,13960
08-09,14914
09-09,16658
10-09,16265
11-09,18517
12-09,16845
01-10,16200
02-10,16521
03-10,17540
04-10,18639
05-10,18440
06-10,18708
07-10,18020
08-10,19418
09-10,21821
10-10,24585
11-10,28199
12-10,30937
01-11,28179
02-11,33820
03-11,37900
04-11,48599
05-11,38317
06-11,34832
07-11,40114
08-11,41727
09-11,30083
10-11,34370
11-11,32777
12-11,27915
01-12,33290
02-12,34642
03-12,32513
04-12,31016
05-12,27785
06-12,27612
07-12,27941
08-12,31417
09-12,34577
10-12,32342
11-12,33254
12-12,30227
01-13,31380
02-13,28432
03-13,28353
04-13,24185
05-13,22265
06-13,19470
07-13,19643
08-13,23495
09-13,21708
10-13,21882
11-13,20016
12-13,19370
01-14,19138
02-14,21241
03-14,19765
04-14,19174
05-14,18700
06-14,21056
07-14,20432
08-14,19454
09-14,17057
10-14,16126
11-14,15547
12-14,15599
01-15,17228
02-15,16558
03-15,16619
04-15,16153
05-15,16721
06-15,15581
07-15,14765
08-15,14581
09-15,14518
10-15,15584
11-15,14072
12-15,13803
01-16,14255
02-16,14918
03-16,15483
04-16,17819
05-16,16018
06-16,18623
07-16,20393
08-16,18675
09-16,19214
10-16,17835
11-16,16454
12-16,15989
01-17,17577
02-17,18469
03-17,18294
04-17,17262
05-17,17443
06-17,16627
07-17,16835
08-17,17541
09-17,16676
10-17,16726
11-17,16445
12-17,17145
01-18,17284
02-18,16407
03-18,16312
04-18,16401
05-18,16503
06-18,16198
07-18,15597
08-18,14517
09-18,14712
10-18,14324
11-18,14180
12-18,17699
01-19,18231
02-19,17710
03-19,17031
04-19,16857
05-19,16187
06-19,16741
07-19,17852
08-19,19567
09-19,18395
10-19,19451
11-19,18378
12-19,19156
01-20,19224
02-20,17570
03-20,15016
04-20,15953
05-20,19473
06-20,19753
07-20,25770
08-20,29744
09-20,24595
10-20,24761
11-20,23464
12-20,27228
01-21,27688
02-21,27862
03-21,25965
04-21,27225
05-21,29326
06-21,27356
07-21,26137
08-21,24523
09-21,22484
10-21,24373
11-21,23324
12-21,23890
01-22,22992
02-22,25087
03-22,26112
04-22,24063
05-22,22785
06-22,21303
07-22,21064
08-22,18657
09-22,19704
10-22,19970
11-22,22603
12-22,24881
01-23,24742
02-23,21720
03-23,24851
04-23,25773
05-23,24135
06-23,23337
07-23,25335
08-23,24812
09-23,22450
10-23,22952
11-23,25293
12-23,24086
01-24,23282
02-24,22885
03-24,25042
04-24,26532
05-24,30440
06-24,29388
07-24,28938
08-24,28865
09-24,31314
10-24,32796
11-24,30335
